ID,understood consent,voluntary consent,publication consent,data storage consent,mainconsent-1,vision/hearing,cognitive/dyslexia,prop_distraction,headphones,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Viewport Size,same_day,age,gender,nationality,location,abroad,education,L1,dialect,dialect_additions,age of onset,length of study,abroad_stay,length of stay,English qualification,English qual_additions,L3,L3_additions,listeningprofscore,readingprofscore,writingprofscore,speakingprofscore,sum_prof,mean_prof,level,prof_test_score,mean_test,Englishhours_listen,Arabichours_listen,Otherhours_listen,Englishhours_read,Arabichours_read,Otherhours_read,Englishhours_interact,Arabichours_interact,Otherhours_interact,prop_English_hours,prop_English_lit_hours,prop_Arabic_hours,prop_arabic_lit_hours
5337506,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.31,no_headphones,mobile,Samsung SM-N9860,Android,Samsung Browser,809x340,1,26,f,Saudi,UK,yes,bachelors,Arabic,Saudi,,25,1,yes,> 6 months,none,,none,,4,2,2,3,11,2.75,beginner,9,0.75,2,4,0,1,2,0,2,5,0,0.31,0.06,0.6875,0.125
5336602,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.02,headphones,computer,Desktop or Laptop,Windows,Chrome,1280x609,1,21,m,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,Hijazi,13,8,no,none,,,French,,4,3,2,3,12,3,intermediate,9,0.75,8,12,2,3,9,0,1,12,0,0.26,0.06,0.70212766,0.191489362
5337014,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.15,no_headphones,mobile,Huawei LYA-L29,Android,Chrome,716x279,1,28,f,Saudi,UK,yes,doctorate,Arabic,Saudi,,17,4,yes,> 1 year,Postgraduate Degree,PhD,none,,3,4,4,4,15,3.75,advanced,11,0.92,2,13,0,4,11,0,2,8,0,0.2,0.1,0.8,0.275
5336601,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.01,headphones,mobile,Apple iPhone,iOS,Mobile Safari,750x307,1,26,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi,11,16,no,none,IELTS,6.5,Turkish,,5,4,4,3,16,4,advanced,12,1,4,13,4,6,9,1,6,14,0,0.28,0.1,0.631578947,0.157894737
5336078,Yes,Yes,Yes,Yes,Yes,Yes,No,0.17,earphones,computer,Desktop or Laptop,Mac OS,Firefox,1273x714,1,32,f,Saudi,UK,yes,masters,Arabic,Saudi,,14,15,yes,> 1 year,Postgraduate Degree,MA,none,,4,4,3,4,15,3.75,advanced,11,0.92,6,7,0,8,9,0,9,8,0,0.49,0.17,0.510638298,0.191489362
5335700,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.51,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1536x714,1,34,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,,6,10,no,< 6 months,Undergraduate Degree,BA,none,,5,5,5,5,20,5,nearnative,10,0.83,12,12,0,12,6,0,12,12,0,0.55,0.18,0.454545455,0.090909091
5335482,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,no_headphones,mobile,Google Pixel 3a XL,Android,Chrome,816x348,1,32,n,nowhere,world,no,masters,Arabic,Saudi,Najdi Central,5,10,no,< 6 months,none,0,French,,5,5,3,3,16,4,advanced,11,0.92,3,6,12,7,5,12,8,6,12,0.25,0.1,0.23943662,0.070422535
5299874,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.14,no_headphones,computer,Desktop or Laptop,Mac OS,Safari,1080x704,1,23,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,,12,10,no,none,Undergraduate Degree,BA,none,,5,5,4,3,17,4.25,intermediate,9,0.75,10,14,0,3,5,0,4,9,0,0.38,0.07,0.622222222,0.111111111
5298847,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Mac OS,Chrome,1424x1247,1,38,f,Libyan,UK,yes,doctorate,Arabic,Libyan,,7,10,yes,> 5 years,Postgraduate Degree,PhD,Turkish,French (both on Duolingo,5,5,5,5,20,5,nearnative,12,1,4,7,1,4,5,0,5,5,0,0.42,0.13,0.548387097,0.161290323
5212730,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,earphones,mobile,Samsung SM-A715F,Android,Samsung Browser,832x340,1,29,m,Syrian,Turkey,yes,professional qualification,Arabic,Syrian,,6,15,no,none,IELTS,,French,,5,5,4,5,19,4.75,advanced,11,0.92,5,7,2,2,2,1,2,4,0,0.36,0.08,0.52,0.08
5246620,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.56,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1366x600,1,31,m,Sudanese,Jordan,yes,masters,Arabic,Sudanese,,27,1,no,none,CEFR,C1,French,,5,5,4,5,19,4.75,nearnative,11,0.92,5,5,1,3,3,0,4,3,0,0.5,0.12,0.458333333,0.125
5247103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.62,earphones,computer,Desktop or Laptop,Mac OS,Safari,1345x665,1,25,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,,10,10,yes,> 1 year,Postgraduate Degree,MA,none,,5,3,3,3,14,3.5,intermediate,11,0.92,7,10,0,2,2,0,2,11,0,0.32,0.06,0.676470588,0.058823529
